commande_id,date,semaine,equipe,condition,preparateur_id,anciennete,nb_lignes,erreur
CMD00001,2024-01-08,1,A,avec_pause,PREP_A12,mid,4,0
CMD00002,2024-01-08,1,A,avec_pause,PREP_A12,mid,3,0
CMD00003,2024-01-08,1,A,avec_pause,PREP_A15,mid,5,0
CMD00004,2024-01-08,1,A,avec_pause,PREP_A07,mid,3,0
CMD00005,2024-01-08,1,A,avec_pause,PREP_A09,junior,4,0
CMD00006,2024-01-08,1,A,avec_pause,PREP_A07,mid,3,1
CMD00007,2024-01-08,1,A,avec_pause,PREP_A09,junior,3,0
CMD00008,2024-01-08,1,A,avec_pause,PREP_A15,mid,3,0
CMD00009,2024-01-08,1,A,avec_pause,PREP_A12,mid,3,0
CMD00010,2024-01-08,1,A,avec_pause,PREP_A04,senior,4,0
CMD00011,2024-01-08,1,A,avec_pause,PREP_A04,senior,4,0
CMD00012,2024-01-08,1,A,avec_pause,PREP_A06,mid,2,1
CMD00013,2024-01-08,1,A,avec_pause,PREP_A02,mid,4,0
CMD00014,2024-01-08,1,A,avec_pause,PREP_A08,senior,5,0
CMD00015,2024-01-08,1,A,avec_pause,PREP_A12,mid,4,0
CMD00016,2024-01-08,1,A,avec_pause,PREP_A02,mid,3,0
CMD00017,2024-01-08,1,A,avec_pause,PREP_A08,senior,2,0
CMD00018,2024-01-08,1,A,avec_pause,PREP_A09,junior,3,0
CMD00019,2024-01-08,1,A,avec_pause,PREP_A13,mid,3,1
CMD00020,2024-01-08,1,A,avec_pause,PREP_A11,senior,4,0
CMD00021,2024-01-08,1,A,avec_pause,PREP_A08,senior,5,0
CMD00022,2024-01-08,1,A,avec_pause,PREP_A07,mid,5,0
CMD00023,2024-01-08,1,A,avec_pause,PREP_A12,mid,4,0
CMD00024,2024-01-08,1,A,avec_pause,PREP_A07,mid,5,0
CMD00025,2024-01-08,1,A,avec_pause,PREP_A08,senior,5,0
CMD00026,2024-01-08,1,A,avec_pause,PREP_A03,mid,6,0
CMD00027,2024-01-08,1,A,avec_pause,PREP_A05,mid,3,0
CMD00028,2024-01-08,1,A,avec_pause,PREP_A11,senior,5,0
CMD00029,2024-01-08,1,A,avec_pause,PREP_A15,mid,4,0
CMD00030,2024-01-08,1,A,avec_pause,PREP_A07,mid,3,0
CMD00031,2024-01-08,1,A,avec_pause,PREP_A13,mid,5,0
CMD00032,2024-01-08,1,A,avec_pause,PREP_A13,mid,4,0
CMD00033,2024-01-08,1,A,avec_pause,PREP_A13,mid,3,0
CMD00034,2024-01-08,1,A,avec_pause,PREP_A13,mid,3,0
CMD00035,2024-01-08,1,A,avec_pause,PREP_A05,mid,4,0
CMD00036,2024-01-08,1,A,avec_pause,PREP_A14,mid,4,0
CMD00037,2024-01-08,1,A,avec_pause,PREP_A10,mid,3,0
CMD00038,2024-01-08,1,A,avec_pause,PREP_A01,senior,3,0
CMD00039,2024-01-08,1,A,avec_pause,PREP_A14,mid,3,0
CMD00040,2024-01-08,1,A,avec_pause,PREP_A14,mid,3,0
CMD00041,2024-01-08,1,A,avec_pause,PREP_A03,mid,3,0
CMD00042,2024-01-08,1,A,avec_pause,PREP_A08,senior,3,0
CMD00043,2024-01-08,1,A,avec_pause,PREP_A01,senior,4,0
CMD00044,2024-01-08,1,A,avec_pause,PREP_A07,mid,4,0
CMD00045,2024-01-08,1,A,avec_pause,PREP_A01,senior,3,0
CMD00046,2024-01-08,1,A,avec_pause,PREP_A01,senior,4,0
CMD00047,2024-01-08,1,A,avec_pause,PREP_A02,mid,1,0
CMD00048,2024-01-08,1,A,avec_pause,PREP_A07,mid,5,0
CMD00049,2024-01-08,1,A,avec_pause,PREP_A11,senior,2,0
CMD00050,2024-01-08,1,A,avec_pause,PREP_A05,mid,3,0
CMD00051,2024-01-08,1,A,avec_pause,PREP_A06,mid,5,0
CMD00052,2024-01-08,1,A,avec_pause,PREP_A09,junior,3,0
CMD00053,2024-01-08,1,A,avec_pause,PREP_A06,mid,5,0
CMD00054,2024-01-08,1,A,avec_pause,PREP_A04,senior,4,1
CMD00055,2024-01-08,1,A,avec_pause,PREP_A03,mid,3,0
CMD00056,2024-01-08,1,A,avec_pause,PREP_A09,junior,5,0
CMD00057,2024-01-08,1,A,avec_pause,PREP_A07,mid,3,0
CMD00058,2024-01-08,1,A,avec_pause,PREP_A14,mid,3,0
CMD00059,2024-01-08,1,A,avec_pause,PREP_A07,mid,5,0
CMD00060,2024-01-08,1,A,avec_pause,PREP_A12,mid,4,0
CMD00061,2024-01-08,1,A,avec_pause,PREP_A01,senior,4,0
CMD00062,2024-01-08,1,A,avec_pause,PREP_A03,mid,5,0
CMD00063,2024-01-08,1,A,avec_pause,PREP_A03,mid,3,0
CMD00064,2024-01-08,1,A,avec_pause,PREP_A04,senior,5,0
CMD00065,2024-01-08,1,A,avec_pause,PREP_A08,senior,4,0
CMD00066,2024-01-08,1,A,avec_pause,PREP_A14,mid,5,0
CMD00067,2024-01-08,1,A,avec_pause,PREP_A09,junior,6,0
CMD00068,2024-01-08,1,A,avec_pause,PREP_A09,junior,4,0
CMD00069,2024-01-08,1,A,avec_pause,PREP_A04,senior,3,0
CMD00070,2024-01-08,1,A,avec_pause,PREP_A08,senior,2,0
CMD00071,2024-01-08,1,A,avec_pause,PREP_A01,senior,4,0
CMD00072,2024-01-08,1,A,avec_pause,PREP_A06,mid,2,0
CMD00073,2024-01-08,1,A,avec_pause,PREP_A14,mid,4,0
CMD00074,2024-01-08,1,A,avec_pause,PREP_A08,senior,4,0
CMD00075,2024-01-08,1,A,avec_pause,PREP_A02,mid,5,0
CMD00076,2024-01-08,1,A,avec_pause,PREP_A01,senior,2,0
CMD00077,2024-01-08,1,A,avec_pause,PREP_A13,mid,7,0
CMD00078,2024-01-08,1,A,avec_pause,PREP_A01,senior,4,0
CMD00079,2024-01-08,1,A,avec_pause,PREP_A14,mid,4,0
CMD00080,2024-01-08,1,A,avec_pause,PREP_A03,mid,5,0
CMD00081,2024-01-08,1,A,avec_pause,PREP_A04,senior,3,0
CMD00082,2024-01-08,1,A,avec_pause,PREP_A03,mid,2,0
CMD00083,2024-01-08,1,A,avec_pause,PREP_A09,junior,5,0
CMD00084,2024-01-08,1,A,avec_pause,PREP_A14,mid,3,0
CMD00085,2024-01-08,1,A,avec_pause,PREP_A15,mid,5,0
CMD00086,2024-01-08,1,A,avec_pause,PREP_A01,senior,4,0
CMD00087,2024-01-08,1,A,avec_pause,PREP_A06,mid,2,0
CMD00088,2024-01-08,1,A,avec_pause,PREP_A03,mid,3,0
CMD00089,2024-01-08,1,A,avec_pause,PREP_A08,senior,4,0
CMD00090,2024-01-08,1,A,avec_pause,PREP_A13,mid,5,0
CMD00091,2024-01-08,1,A,avec_pause,PREP_A08,senior,5,0
CMD00092,2024-01-08,1,A,avec_pause,PREP_A07,mid,4,1
CMD00093,2024-01-08,1,A,avec_pause,PREP_A02,mid,4,1
CMD00094,2024-01-08,1,A,avec_pause,PREP_A09,junior,3,0
CMD00095,2024-01-08,1,A,avec_pause,PREP_A14,mid,4,1
CMD00096,2024-01-08,1,A,avec_pause,PREP_A04,senior,2,1
CMD00097,2024-01-08,1,A,avec_pause,PREP_A15,mid,3,0
CMD00098,2024-01-08,1,A,avec_pause,PREP_A05,mid,3,0
CMD00099,2024-01-08,1,A,avec_pause,PREP_A12,mid,3,0
CMD00100,2024-01-08,1,A,avec_pause,PREP_A04,senior,4,0
CMD00101,2024-01-08,1,A,avec_pause,PREP_A03,mid,5,0
CMD00102,2024-01-08,1,A,avec_pause,PREP_A12,mid,5,0
CMD00103,2024-01-08,1,A,avec_pause,PREP_A03,mid,3,0
CMD00104,2024-01-08,1,A,avec_pause,PREP_A07,mid,5,0
CMD00105,2024-01-08,1,A,avec_pause,PREP_A10,mid,3,0
CMD00106,2024-01-08,1,A,avec_pause,PREP_A01,senior,6,0
CMD00107,2024-01-08,1,A,avec_pause,PREP_A14,mid,4,0
CMD00108,2024-01-08,1,A,avec_pause,PREP_A15,mid,4,0
CMD00109,2024-01-08,1,A,avec_pause,PREP_A13,mid,2,0
CMD00110,2024-01-08,1,A,avec_pause,PREP_A05,mid,3,0
CMD00111,2024-01-08,1,A,avec_pause,PREP_A13,mid,3,0
CMD00112,2024-01-08,1,A,avec_pause,PREP_A05,mid,6,0
CMD00113,2024-01-08,1,A,avec_pause,PREP_A01,senior,6,0
CMD00114,2024-01-08,1,A,avec_pause,PREP_A06,mid,3,0
CMD00115,2024-01-08,1,A,avec_pause,PREP_A02,mid,4,0
CMD00116,2024-01-08,1,A,avec_pause,PREP_A13,mid,5,0
CMD00117,2024-01-08,1,A,avec_pause,PREP_A08,senior,4,0
CMD00118,2024-01-08,1,A,avec_pause,PREP_A12,mid,5,0
CMD00119,2024-01-08,1,A,avec_pause,PREP_A12,mid,4,0
CMD00120,2024-01-08,1,A,avec_pause,PREP_A12,mid,3,0
CMD00121,2024-01-08,1,A,avec_pause,PREP_A01,senior,2,0
CMD00122,2024-01-08,1,A,avec_pause,PREP_A12,mid,4,0
CMD00123,2024-01-08,1,A,avec_pause,PREP_A02,mid,4,0
CMD00124,2024-01-08,1,A,avec_pause,PREP_A10,mid,3,0
CMD00125,2024-01-08,1,A,avec_pause,PREP_A10,mid,2,0
CMD00126,2024-01-08,1,A,avec_pause,PREP_A07,mid,5,0
CMD00127,2024-01-08,1,A,avec_pause,PREP_A05,mid,4,1
CMD00128,2024-01-08,1,A,avec_pause,PREP_A09,junior,3,0
CMD00129,2024-01-08,1,A,avec_pause,PREP_A09,junior,1,0
CMD00130,2024-01-08,1,A,avec_pause,PREP_A03,mid,5,0
CMD00131,2024-01-08,1,A,avec_pause,PREP_A04,senior,5,0
CMD00132,2024-01-08,1,A,avec_pause,PREP_A14,mid,3,0
CMD00133,2024-01-08,1,A,avec_pause,PREP_A12,mid,5,0
CMD00134,2024-01-08,1,A,avec_pause,PREP_A09,junior,3,0
CMD00135,2024-01-08,1,A,avec_pause,PREP_A01,senior,5,0
CMD00136,2024-01-08,1,A,avec_pause,PREP_A11,senior,4,0
CMD00137,2024-01-08,1,A,avec_pause,PREP_A04,senior,3,0
CMD00138,2024-01-08,1,A,avec_pause,PREP_A04,senior,3,0
CMD00139,2024-01-08,1,A,avec_pause,PREP_A15,mid,5,0
CMD00140,2024-01-08,1,A,avec_pause,PREP_A05,mid,6,0
CMD00141,2024-01-08,1,B,sans_pause,PREP_B09,mid,6,0
CMD00142,2024-01-08,1,B,sans_pause,PREP_B09,mid,4,0
CMD00143,2024-01-08,1,B,sans_pause,PREP_B12,mid,4,0
CMD00144,2024-01-08,1,B,sans_pause,PREP_B08,junior,4,1
CMD00145,2024-01-08,1,B,sans_pause,PREP_B02,senior,2,0
CMD00146,2024-01-08,1,B,sans_pause,PREP_B13,junior,4,0
CMD00147,2024-01-08,1,B,sans_pause,PREP_B04,junior,4,0
CMD00148,2024-01-08,1,B,sans_pause,PREP_B04,junior,3,0
CMD00149,2024-01-08,1,B,sans_pause,PREP_B15,mid,1,0
CMD00150,2024-01-08,1,B,sans_pause,PREP_B10,mid,3,0
CMD00151,2024-01-08,1,B,sans_pause,PREP_B07,senior,2,0
CMD00152,2024-01-08,1,B,sans_pause,PREP_B14,senior,3,1
